MaThuoc,TenThuoc
DT 359,TH 718
DT 360,TH 719
DT 360,TH 720
DT 361,TH 721
DT 361,TH 722
DT 362,TH 723
DT 362,TH 724
DT 363,TH 725
DT 363,TH 726
DT 364,TH 727
DT 364,TH 728
DT 365,TH 729
DT 365,TH 730
DT 366,TH 731
DT 366,TH 732
DT 367,TH 733
DT 367,TH 734
DT 368,TH 735
DT 368,TH 736
DT 369,TH 737
DT 369,TH 738
DT 370,TH 739
DT 370,TH 740
DT 371,TH 741
DT 371,TH 742
DT 372,TH 743
DT 372,TH 744
DT 373,TH 745
DT 373,TH 746
DT 374,TH 747
DT 374,TH 748
DT 375,TH 749
DT 375,TH 750
DT 376,TH 751
DT 376,TH 752
DT 377,TH 753
DT 377,TH 754
DT 378,TH 755
DT 378,TH 756
DT 379,TH 757
DT 379,TH 758
DT 380,TH 759
DT 380,TH 760
DT 381,TH 761
DT 381,TH 762
DT 382,TH 763
DT 382,TH 764
DT 383,TH 765
DT 383,TH 766
DT 384,TH 767
DT 384,TH 768
DT 385,TH 769
DT 385,TH 770
DT 386,TH 771
DT 386,TH 772
DT 387,TH 773
DT 387,TH 774
DT 388,TH 775
DT 388,TH 776
DT 389,TH 777
DT 389,TH 778
DT 390,TH 779
DT 390,TH 780
DT 391,TH 781
DT 391,TH 782
DT 392,TH 783
DT 392,TH 784
DT 393,TH 785
DT 393,TH 786
DT 394,TH 787
DT 394,TH 788
DT 395,TH 789
DT 395,TH 790
DT 396,TH 791
DT 396,TH 792
DT 397,TH 793
DT 397,TH 794
DT 398,TH 795
DT 398,TH 796
DT 399,TH 797
DT 399,TH 798
DT 400,TH 799
DT 400,TH 800
DT 401,TH 801
DT 401,TH 802
DT 402,TH 803
DT 402,TH 804
DT 403,TH 805
DT 403,TH 806
DT 404,TH 807
DT 404,TH 808
DT 405,TH 809
DT 405,TH 810
DT 406,TH 811
DT 406,TH 812
DT 407,TH 813
DT 407,TH 814
DT 408,TH 815
DT 408,TH 816
DT 409,TH 817
DT 409,TH 818
DT 410,TH 819
DT 410,TH 820
DT 411,TH 821
DT 411,TH 822
DT 412,TH 823
DT 412,TH 824
DT 413,TH 825
DT 413,TH 826
DT 414,TH 827
DT 414,TH 828
DT 415,TH 829
DT 415,TH 830
DT 416,TH 831
DT 416,TH 832
DT 417,TH 833
DT 417,TH 834
DT 418,TH 835
DT 418,TH 836
DT 419,TH 837
DT 419,TH 838
DT 420,TH 839
DT 420,TH 840
DT 421,TH 841
DT 421,TH 842
DT 422,TH 843
DT 422,TH 844
DT 423,TH 845
DT 423,TH 846
DT 424,TH 847
DT 424,TH 848
DT 425,TH 849
DT 425,TH 850
DT 426,TH 851
DT 426,TH 852
DT 427,TH 853
DT 427,TH 854
DT 428,TH 855
DT 428,TH 856
DT 429,TH 857
DT 429,TH 858
DT 430,TH 859
DT 430,TH 860
DT 431,TH 861
DT 431,TH 862
DT 432,TH 863
DT 432,TH 864
DT 433,TH 865
DT 433,TH 866
DT 434,TH 867
DT 434,TH 868
DT 435,TH 869
DT 435,TH 870
DT 436,TH 871
DT 436,TH 872
DT 437,TH 873
DT 437,TH 874
DT 438,TH 875
DT 438,TH 876
DT 439,TH 877
DT 439,TH 878
DT 440,TH 879
DT 440,TH 880
DT 441,TH 881
DT 441,TH 882
DT 442,TH 883
DT 442,TH 884
DT 443,TH 885
DT 443,TH 886
DT 444,TH 887
DT 444,TH 888
DT 445,TH 889
DT 445,TH 890
DT 446,TH 891
DT 446,TH 892
DT 447,TH 893
DT 447,TH 894
DT 448,TH 895
DT 448,TH 896
DT 449,TH 897
DT 449,TH 898
DT 450,TH 899
DT 450,TH 900
DT 451,TH 901
DT 451,TH 902
DT 452,TH 903
DT 452,TH 904
DT 453,TH 905
DT 453,TH 906
DT 454,TH 907
DT 454,TH 908
DT 455,TH 909
DT 455,TH 910
DT 456,TH 911
DT 456,TH 912
DT 457,TH 913
DT 457,TH 914
DT 458,TH 915
DT 458,TH 916
DT 459,TH 917
DT 459,TH 918
DT 460,TH 919
DT 460,TH 920
DT 461,TH 921
DT 461,TH 922
DT 462,TH 923
DT 462,TH 924
DT 463,TH 925
DT 463,TH 926
DT 464,TH 927
DT 464,TH 928
DT 465,TH 929
DT 465,TH 930
DT 466,TH 931
DT 466,TH 932
DT 467,TH 933
DT 467,TH 934
DT 468,TH 935
DT 468,TH 936
DT 469,TH 937
DT 469,TH 938
DT 470,TH 939
DT 470,TH 940
DT 471,TH 941
DT 471,TH 942
DT 472,TH 943
DT 472,TH 944
DT 473,TH 945
DT 473,TH 946
DT 474,TH 947
DT 474,TH 948
DT 475,TH 949
DT 475,TH 950
DT 476,TH 951
DT 476,TH 952
DT 477,TH 953
DT 477,TH 954
DT 478,TH 955
DT 478,TH 956
DT 479,TH 957
DT 479,TH 958
DT 480,TH 959
DT 480,TH 960
DT 481,TH 961
DT 481,TH 962
DT 482,TH 963
DT 482,TH 964
DT 483,TH 965
DT 483,TH 966
DT 484,TH 967
DT 484,TH 968
DT 485,TH 969
DT 485,TH 970
DT 486,TH 971
DT 486,TH 972
DT 487,TH 973
DT 487,TH 974
DT 488,TH 975
DT 488,TH 976
DT 489,TH 977
DT 489,TH 978
DT 490,TH 979
DT 490,TH 980
DT 491,TH 981
DT 491,TH 982
DT 492,TH 983
DT 492,TH 984
DT 493,TH 985
DT 493,TH 986
DT 494,TH 987
DT 494,TH 988
DT 495,TH 989
DT 495,TH 990
DT 496,TH 991
DT 496,TH 992
DT 497,TH 993
DT 497,TH 994
DT 498,TH 995
DT 498,TH 996
DT 499,TH 997
DT 499,TH 998
DT 500,TH 999
DT 500,TH 1000
DT 501,TH 1001
DT 501,TH 1002
DT 502,TH 1003
DT 502,TH 1004
DT 503,TH 1005
DT 503,TH 1006
DT 504,TH 1007
DT 504,TH 1008
DT 505,TH 1009
DT 505,TH 1010
DT 506,TH 1011
DT 506,TH 1012
DT 507,TH 1013
DT 507,TH 1014
DT 508,TH 1015
DT 508,TH 1016
DT 509,TH 1017
DT 509,TH 1018
DT 510,TH 1019
DT 510,TH 1020
DT 511,TH 1021
DT 511,TH 1022
DT 512,TH 1023
DT 512,TH 1024
DT 513,TH 1025
DT 513,TH 1026
DT 514,TH 1027
DT 514,TH 1028
DT 515,TH 1029
DT 515,TH 1030
DT 516,TH 1031
DT 516,TH 1032
DT 517,TH 1033
DT 517,TH 1034
DT 518,TH 1035
DT 518,TH 1036
DT 519,TH 1037
DT 519,TH 1038
DT 520,TH 1039
DT 520,TH 1040
DT 521,TH 1041
DT 521,TH 1042
DT 522,TH 1043
DT 522,TH 1044
DT 523,TH 1045
DT 523,TH 1046
DT 524,TH 1047
DT 524,TH 1048
DT 525,TH 1049
DT 525,TH 1050
DT 526,TH 1051
DT 526,TH 1052
DT 527,TH 1053
DT 527,TH 1054
DT 528,TH 1055
DT 528,TH 1056
DT 529,TH 1057
DT 529,TH 1058
DT 530,TH 1059
DT 530,TH 1060
DT 531,TH 1061
DT 531,TH 1062
DT 532,TH 1063
DT 532,TH 1064
DT 533,TH 1065
DT 533,TH 1066
DT 534,TH 1067
DT 534,TH 1068
DT 535,TH 1069
DT 535,TH 1070
DT 536,TH 1071
DT 536,TH 1072
DT 537,TH 1073
DT 537,TH 1074
DT 538,TH 1075
DT 538,TH 1076
DT 539,TH 1077
DT 539,TH 1078
DT 540,TH 1079
DT 540,TH 1080
DT 541,TH 1081
DT 541,TH 1082
DT 542,TH 1083
DT 542,TH 1084
DT 543,TH 1085
DT 543,TH 1086
DT 544,TH 1087
DT 544,TH 1088
DT 545,TH 1089
DT 545,TH 1090
DT 546,TH 1091
DT 546,TH 1092
DT 547,TH 1093
DT 547,TH 1094
DT 548,TH 1095
DT 548,TH 1096
DT 549,TH 1097
DT 549,TH 1098
DT 550,TH 1099
DT 550,TH 1100
DT 551,TH 1101
DT 551,TH 1102
DT 552,TH 1103
DT 552,TH 1104
DT 553,TH 1105
DT 553,TH 1106
DT 554,TH 1107
DT 554,TH 1108
DT 555,TH 1109
DT 555,TH 1110
DT 556,TH 1111
DT 556,TH 1112
DT 557,TH 1113
DT 557,TH 1114
DT 558,TH 1115
DT 558,TH 1116
DT 559,TH 1117
DT 559,TH 1118
DT 560,TH 1119
DT 560,TH 1120
DT 561,TH 1121
DT 561,TH 1122
DT 562,TH 1123
DT 562,TH 1124
DT 563,TH 1125
DT 563,TH 1126
DT 564,TH 1127
DT 564,TH 1128
DT 565,TH 1129
DT 565,TH 1130
DT 566,TH 1131
DT 566,TH 1132
DT 567,TH 1133
DT 567,TH 1134
DT 568,TH 1135
DT 568,TH 1136
DT 569,TH 1137
DT 569,TH 1138
DT 570,TH 1139
DT 570,TH 1140
DT 571,TH 1141
DT 571,TH 1142
DT 572,TH 1143
DT 572,TH 1144
DT 573,TH 1145
DT 573,TH 1146
DT 574,TH 1147
DT 574,TH 1148
DT 575,TH 1149
DT 575,TH 1150
DT 576,TH 1151
DT 576,TH 1152
DT 577,TH 1153
DT 577,TH 1154
DT 578,TH 1155
DT 578,TH 1156
DT 579,TH 1157
DT 579,TH 1158
DT 580,TH 1159
DT 580,TH 1160
DT 581,TH 1161
DT 581,TH 1162
DT 582,TH 1163
DT 582,TH 1164
DT 583,TH 1165
DT 583,TH 1166
DT 584,TH 1167
DT 584,TH 1168
DT 585,TH 1169
DT 585,TH 1170
DT 586,TH 1171
DT 586,TH 1172
DT 587,TH 1173
DT 587,TH 1174
DT 588,TH 1175
DT 588,TH 1176
DT 589,TH 1177
DT 589,TH 1178
DT 590,TH 1179
DT 590,TH 1180
DT 591,TH 1181
DT 591,TH 1182
DT 592,TH 1183
DT 592,TH 1184
DT 593,TH 1185
DT 593,TH 1186
DT 594,TH 1187
DT 594,TH 1188
DT 595,TH 1189
DT 595,TH 1190
DT 596,TH 1191
DT 596,TH 1192
DT 597,TH 1193
DT 597,TH 1194
DT 598,TH 1195
DT 598,TH 1196
DT 599,TH 1197
DT 599,TH 1198
DT 600,TH 1199
DT 600,TH 1200
DT 601,TH 1201
DT 601,TH 1202
DT 602,TH 1203
DT 602,TH 1204
DT 603,TH 1205
DT 603,TH 1206
DT 604,TH 1207
DT 604,TH 1208
DT 605,TH 1209
DT 605,TH 1210
DT 606,TH 1211
DT 606,TH 1212
DT 607,TH 1213
DT 607,TH 1214
DT 608,TH 1215
DT 608,TH 1216
DT 609,TH 1217
DT 609,TH 1218
DT 610,TH 1219
DT 610,TH 1220
DT 611,TH 1221
DT 611,TH 1222
DT 612,TH 1223
DT 612,TH 1224
DT 613,TH 1225
DT 613,TH 1226
DT 614,TH 1227
DT 614,TH 1228
DT 615,TH 1229
DT 615,TH 1230
DT 616,TH 1231
DT 616,TH 1232
DT 617,TH 1233
DT 617,TH 1234
DT 618,TH 1235
DT 618,TH 1236
DT 619,TH 1237
DT 619,TH 1238
DT 620,TH 1239
DT 620,TH 1240
DT 621,TH 1241
DT 621,TH 1242
DT 622,TH 1243
DT 622,TH 1244
DT 623,TH 1245
DT 623,TH 1246
DT 624,TH 1247
DT 624,TH 1248
DT 625,TH 1249
DT 625,TH 1250
DT 626,TH 1251
DT 626,TH 1252
DT 627,TH 1253
DT 627,TH 1254
DT 628,TH 1255
DT 628,TH 1256
DT 629,TH 1257
DT 629,TH 1258
DT 630,TH 1259
DT 630,TH 1260
DT 631,TH 1261
DT 631,TH 1262
DT 632,TH 1263
DT 632,TH 1264
DT 633,TH 1265
DT 633,TH 1266
DT 634,TH 1267
DT 634,TH 1268
DT 635,TH 1269
DT 635,TH 1270
DT 636,TH 1271
DT 636,TH 1272
DT 637,TH 1273
DT 637,TH 1274
DT 638,TH 1275
DT 638,TH 1276
DT 639,TH 1277
DT 639,TH 1278
DT 640,TH 1279
DT 640,TH 1280
DT 641,TH 1281
DT 641,TH 1282
DT 642,TH 1283
DT 642,TH 1284
DT 643,TH 1285
DT 643,TH 1286
DT 644,TH 1287
DT 644,TH 1288
DT 645,TH 1289
DT 645,TH 1290
DT 646,TH 1291
DT 646,TH 1292
DT 647,TH 1293
DT 647,TH 1294
DT 648,TH 1295
DT 648,TH 1296
DT 649,TH 1297
DT 649,TH 1298
DT 650,TH 1299
DT 650,TH 1300
DT 651,TH 1301
DT 651,TH 1302
DT 652,TH 1303
DT 652,TH 1304
DT 653,TH 1305
DT 653,TH 1306
DT 654,TH 1307
DT 654,TH 1308
DT 655,TH 1309
DT 655,TH 1310
DT 656,TH 1311
DT 656,TH 1312
DT 657,TH 1313
DT 657,TH 1314
DT 658,TH 1315
DT 658,TH 1316
DT 659,TH 1317
DT 659,TH 1318
DT 660,TH 1319
DT 660,TH 1320
DT 661,TH 1321
DT 661,TH 1322
DT 662,TH 1323
DT 662,TH 1324
DT 663,TH 1325
DT 663,TH 1326
DT 664,TH 1327
DT 664,TH 1328
DT 665,TH 1329
DT 665,TH 1330
DT 666,TH 1331
DT 666,TH 1332
DT 667,TH 1333
DT 667,TH 1334
DT 668,TH 1335
DT 668,TH 1336
DT 669,TH 1337
DT 669,TH 1338
DT 670,TH 1339
DT 670,TH 1340
DT 671,TH 1341
DT 671,TH 1342
DT 672,TH 1343
DT 672,TH 1344
DT 673,TH 1345
DT 673,TH 1346
DT 674,TH 1347
DT 674,TH 1348
DT 675,TH 1349
DT 675,TH 1350
DT 676,TH 1351
DT 676,TH 1352
DT 677,TH 1353
DT 677,TH 1354
DT 678,TH 1355
DT 678,TH 1356
DT 679,TH 1357
DT 679,TH 1358
DT 680,TH 1359
DT 680,TH 1360
DT 681,TH 1361
